school_name,url,host,final_status,classification_reason,evidence_url,evidence_text,geography_note,flag
Camen Academy,https://www.camenacademy.com/,camenacademy.com,NOT_SURE,Specialty school for neurodiverse students using performing arts / ABA-based approach in Orlando FL. Not a traditional school. May serve elementary-age students but non-standard model — not a match for typical DR after-school outreach.,https://www.camenacademy.com/,CAMEN Academy for The Performing Arts — specialty school for high-quality education for students with unique and neurodiverse backgrounds. Camen Behavioral Services provides ABA services.,"Orlando, FL — OC area",homeschool_or_nontraditional
Central Florida Christian Academy,https://cfcaeagles.org/,cfcaeagles.org,NOT_SURE,"No crawl data returned. Phase 1 title confirms ""Central Florida Christian Academy: Homepage"" in Orlando FL. Grade range unknown. Needs re-crawl.",https://cfcaeagles.org/,No crawl data returned.,Central Florida — likely OC area,weak_grade_signal
Circle Christian Schools,https://circlechristianschool.org/,circlechristianschool.org,NOT_SURE,Single homepage crawled. No grade range mentioned in crawl text. School confirmed in FL. Likely K-12 based on school type but evidence is insufficient.,https://circlechristianschool.org/,Home - Circle Christian Schools. What Our Students Have To Say. Circle is an edifying environment where I have been able to explore my interests in the academic world.,Florida — specific OC location unconfirmed,weak_grade_signal
Core FL Academy,https://coreflacademy.org/elementary-school-in-orlando/,coreflacademy.org,NOT_SURE,"No crawl data returned. Phase 1 title: ""Elementary School in Orlando, FL"" from coreflacademy.org. Strong elementary signal in title but needs re-crawl to confirm grades and address.",https://coreflacademy.org/elementary-school-in-orlando/,No crawl data returned.,"Orlando, FL — likely OC area based on Phase 1 evidence",weak_grade_signal
Eastland Christian School,https://www.eastlandchristian.org/,eastlandchristian.org,NOT_SURE,Homepage crawled but grade range not stated. School confirmed in Orlando FL (associated with Eastland Baptist Church on Lake Underhill Rd). Likely K-12 but unconfirmed.,https://www.eastlandchristian.org/,The Difference that Lasts a Lifetime. Purpose is to instill character. I will instruct thee and teach thee in the way which thou shalt go. -Psalm 32:8.,"Orlando, FL (Lake Underhill Rd area) — OC",weak_grade_signal
Faith Christian Academy,https://fcalions.org/,fcalions.org,NOT_SURE,Homepage crawled. Orlando FL confirmed (Ministry of Faith Assembly). No grade range in crawled text. Likely K-12 private Christian school but unconfirmed.,https://fcalions.org/,Faith Christian Academy | Orlando – A Ministry of Faith Assembly. Strong emphasis on providing a well-rounded education while prioritizing integration of biblical principles.,"Orlando, FL — OC",weak_grade_signal
Hillcrest Elementary,https://hillcrestes.ocps.net/,hillcrestes.ocps.net,NOT_SURE,"No crawl data returned. Phase 1 title: ""Hillcrest Elementary - Home - Orange County Public Schools."" Name strongly implies OCPS elementary school. Needs re-crawl to confirm.",https://hillcrestes.ocps.net/,No crawl data returned.,Orange County Public Schools — OC,weak_grade_signal
Hope Charter School,https://www.hopecharter.org/,hopecharter.org,NOT_SURE,"Single page crawled. Site references ""Legacy Charter High School"" as a related entity but grade range for Hope Charter itself not stated. Could be K-8 or K-12. Needs targeted crawl of admissions page.",https://www.hopecharter.org/,Hope Charter School / Legacy Charter High School. Hope Charter School and Legacy Charter High School do not discriminate in admission or access to programs.,Florida — specific location and OC confirmation needed,weak_grade_signal
Innovation Montessori Ocoee,https://www.innovationmontessori.com/,innovationmontessori.com,NOT_SURE,Montessori school confirmed in Ocoee FL (Orange County). Crawled text describes Montessori curriculum philosophy but does not state explicit grade range. Likely PK-8 given Montessori model but unconfirmed.,https://www.innovationmontessori.com/,"Innovation Montessori Ocoee | Montessori School | Ocoee, FL. FAST FACTS. Curriculum committed to founding principles and philosophies of the Montessori method.","Ocoee, FL — Orange County",weak_grade_signal
Lake Forrest Prep,https://www.lakeforrestprep.com/,lakeforrestprep.com,NOT_SURE,Orlando private school confirmed but grade range not stated in crawled text. Only the admissions page was crawled. Needs re-crawl of homepage or academics page.,https://www.lakeforrestprep.com/,"Orlando Private School | Lake Forrest Preparatory School. Challenging minds. Each child reaches greatest potential as a responsible, productive, capable individual.","Orlando, FL — OC area",weak_grade_signal
Trinity Prep,https://www.trinityprep.org/,trinityprep.org,NOT_SURE,"No crawl data returned. Phase 1 title: ""Best Private School In Orlando | Orlando Preparatory School."" Grade range unknown. Needs re-crawl.",https://www.trinityprep.org/,No crawl data returned.,"Orlando, FL — OC area based on Phase 1",weak_grade_signal
